Cod. Art.;Descripción Articulo;P.V.P
KF11020;CAMPANA INDUSTRIAL MUNDOFAN  MODELO DG EXCLUSIVE 1000X800X450;585
KF11021;CAMPANA INDUSTRIAL MUNDOFAN  MODELO DG EXCLUSIVE 1500X800X450;798
KF11022;CAMPANA INDUSTRIAL MUNDOFAN  MODELO DG EXCLUSIVE 2000X800X450;975
KF11023;CAMPANA MURAL IC EXCLUSIVE CON VENTILADOR  7/7 1/5CV 1000X800X680 FILTROS  INCLUIDOS;1145
KF11024;CAMPANA MURAL IC EXCLUSIVE CON VENTILADOR 9/9 1/2CV 1500X800X680 FILTROS  INCLUIDOS;1529
KF11025;CAMPANA MURAL IC EXCLUSIVE CON VENTILADOR 9/9 3/4CV 2000X800X680 FILTROS  INCLUIDOS;1943
KF11100;CAMPANA BAJA SILUETA TAU PARED (ECO-PLUS) 1000X750;922,64
KF11101;CAMPANA BAJA SILUETA TAU PARED (ECO-PLUS) 1000X1200;1080,7
KF11102;CAMPANA BAJA SILUETA TAU PARED (ECO-PLUS) 1500X750;1072,99
KF11103;CAMPANA BAJA SILUETA TAU PARED (ECO-PLUS) 1500X1200;1263,17
KF11104;CAMPANA BAJA SILUETA TAU PARED (ECO-PLUS) 2000X750;1225,9
KF11105;CAMPANA BAJA SILUETA TAU PARED (ECO-PLUS) 2000X1200;1452,06
KF11106;CAMPANA BAJA SILUETA TAU PARED (ECO-PLUS) 2500X750;1551,01
KF11107;CAMPANA BAJA SILUETA TAU PARED (ECO-PLUS) 2500X1200;1808,01
KF11108;CAMPANA BAJA SILUETA TAU PARED (ECO-PLUS) 3000X750;1923,66
KF11109;CAMPANA BAJA SILUETA TAU PARED (ECO-PLUS) 3000X1200;2261,62
KF11110;CAMPANA BAJA SILUETA TAU PARED (ECO-PLUS) 3500X750;2077,87
KF11111;CAMPANA BAJA SILUETA TAU PARED (ECO-PLUS) 3500X1200;2450,52
KF11112;CAMPANA BAJA SILUETA TAU PARED (ECO-PLUS) 4000X750;2230,78
KF11113;CAMPANA BAJA SILUETA TAU PARED (ECO-PLUS) 4000X1200;2639,42
KF11114;CAMPANA BAJA SILUETA TAU PARED (ECO-PLUS) 4500X750;2555,89
KF11115;CAMPANA BAJA SILUETA TAU PARED (ECO-PLUS) 4500X1200;2995,37
